Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
Achievements/MaxedOutRange	Text		Robin Hood	Robin Hood	Robin des bois	Robin Hood	Robin Hood	ロビンフッド	로빈 후드	Робин Гуд	Robin Hood	Робін Гуд	罗宾汉	羅賓漢	โรบินฮูด
Achievements/MaxedOutRunning	Text		Float like a butterfly...	Tanze wie ein Schmetterling ...	Flotte comme un papillon…	Voe Como uma Borboleta...	Vola come una farfalla...	蝶のように舞い...	나비처럼 날아서...	Порхай, как бабочка...	Flota cual mariposa	Пурхай як метелик...	像蝴蝶一样飞舞……	像蝴蝶一樣翩翩起舞……	โบยบินเหมือนผีเสื้อ...
Achievements/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Stay Away From The Summoner!	Komm' nicht in die Nähe des Mediums!	Ne t’approche pas du médium !	Deixe a Invocadora em Paz!	Alla larga dall'evocatore!	召喚士様に近づくな！	소환사에게서 떨어져!	Отойди от призывателя!	¡Aléjate del invocador!	Тримайся подалі від закликача!	远离召唤师！	遠離召喚師！	อย่าเข้าใกล้นักอัญเชิญนั่น!
Achievements/MaxedOutVitality	Text		Health Conscious	Gesundheitsbewusst	Santé en conscience	Vida Plena	In ottima forma	健康志向	건강 걱정	Здоровый образ жизни	Concienciado con la salud	Основи здоров'я	珍爱生命	珍惜生命	รักสุขภาพ
Achievements/ObtainPhantomSpark	Text		The Phantom Spark	Der Phantomfunke	L'étincelle de fantôme	A Centelha Espectral	Scintilla spettrale	ザ・ファントムスパーク	유령의 불꽃	Призрачная искра	Chispa fantasma	Примарна іскра	幻影星火	魅影星火	แฟนธอมสปาร์ก
Achievements/ObtainRuneSong	Text		The Rune Song	Das Runenlied	Le chant runique	A Canção Rúnica	Canto runico	ザ・ルーンソング	룬의 노래	Песнь рун	Canto rúnico	Рунна пісня	符文之歌	符文之歌	บทเพลงแห่งรูน
Achievements/ObtainSoulSeeker	Text		The Soul Seeker	Der Seelensucher	Le chercheur d'âmes	A Caçadora de Almas	Cercanime	ザ・ソウルシーカー	영혼 추격자	Добытчица душ	Buscador de almas	Шукач душ	追魂镐	靈魂尋覓者	อีเต้อล่าวิญญาณ
Achievements/ObtainStormbringer	Text		Wielder of Legends	Im Besitz von Legenden	Jongleur des légendes	Domínio de Lendas	Brandi-leggende	伝説を携える者	전설적인 무기의 주인	Владыка легенд	Manipulador de leyendas	Володар легенд	传奇持有者	傳奇揮舞者	ผู้ครองวัตถุแห่งตำนาน
Achievements/ObtainTheOracleDeck	Text		The Heart of the Cards	Das Herz der Karten	Le cœur des cartes	O Coração das Cartas	Il cuore delle carte	カードのココロ	카드의 마음	Душа картежника	Corazón de cartas	Карткове серце	神之卡	卡片之心	จิตวิญญาณแห่งการ์ด
Achievements/PetColors	Text		I want ’em all!	Ich will sie alle haben!	J’les veux tous !	Quero Todos!	Li voglio tutti!	全色ゲットしたいぜ！	애완동물 수집가	Собери их всех!	¡Hazte con todos!	Хочу всі!	我全都要！	我要一網打盡！	ต้องมีให้ครบ!
Achievements/PetMaxLevel	Text		Pet Prodigy	Na-Tier-Talent	Animal prodige	Prodígio dos Pets	Bravo cucciolo	驚異のペット	애완동물 영재	Гениальный питомец	Mascota prodigio	Майстер тваринок	养宠奇才	寵物神童	ยอดคนเลี้ยงสัตว์
Achievements/SitOnCavelingToiletWithACrown	Text		A Throne Fit for a King	Ein Thron für einen König	Un trône digne d'un roi	O Trono Ideal para uma Majestade	Un trono degno di un re	王にふさわしい玉座	왕에게 어울리는 왕좌	Трон, достойный короля	Trono digo de un rey	Царствений трон	国王御座	國王寶座	บัลลังก์สำหรับราชา
Achievements/StormSong	Text		A Strange Song	Ein seltsames Lied	Un chant étrange	Uma Canção Peculiar	Una strana melodia	奇妙な歌	기이한 노래	Странная песня	Un canto extraño	Дивна пісня	奇异曲调	奇異歌曲	เพลงประหลาด
Achievements/SummonManyMinions	Text		Legion Commander	Legionskommandant	Commandant de légion	Comandante da Legião	Comandante di legioni	軍団長	군단 지휘관	Командующий легионом	Comandante de legión	Командир легіону	军团指挥官	軍團指揮官	ผู้บัญชาการกองทหาร
Achievements/TalkToBigLarva	Text		Gossip Group	Kaffeekränzchen	Clan des ragots	Grupinho da Fofoca	Gruppo di gossip	ゴシップグループ	가십 그룹	Сплетницы	Grupo de cotilleos	Пліткарі	八卦小团体	八卦小團體	กลุ่มซุบซิบ
Achievements/UseWayPoint	Text		Beam Me Up	Beam mich hoch	Téléporte-moi	Janela para o Mundo	Trasportami	転送を頼む	최첨단 이동 수단	Телепортируй меня	Estaba de paso	Телепортуй мене	送我上去	把我傳送上去	วาร์ปฉันที
AchievementsLockedDescription/CatchStarlightNautilus	Text		Catch a Starlight Nautilus	Sternlicht-Nautilus fangen	Attrape un Nautile de lumière d'étoile	Capture um Náutilo Estelar	Pesca un Nautilus Stellare	スターライトノーチラスを捕まえる	별빛 앵무조개를 잡으세요	Поймай звездного наутилуса	Atrapa un nautilus de luz estelar	Упіймай зіркового наутилуса	钓上一只星光鹦鹉螺	捕捉一隻星光鸚鵡螺	จับหอยงวงช้างแสงดาว
AchievementsLockedDescription/DefeatAtlanteanWorm	Text		Defeat an Atlantean Worm	Bezwinge einen Atlantischen Wurm	Combats un Ver atlante	Derrote um Verme Atlante	Sconfiggi un Verme Atlantideo	アトラスワームを倒す	초거대 벌레를 처치하세요	Одолей Атлантического червя	Derrota a un Gusano Atlante	Переможи Атлантського Черва	击败一只亚特兰蒂斯蠕虫	擊敗一隻亞特蘭提斯蟲	กำจัดหนอนแอตแลนเทียน
AchievementsLockedDescription/DefeatAzeos	Text		Defeat Azeos the Sky Titan	Azeos den Himmelstitanen bezwingen	Combats Azeos le Titan des cieux	Derrote Azeos, o Titã do Céu	Sconfiggi Azeos il Titano Celeste	天空の巨鳥アゼオスを倒す	하늘 거인 아제오스를 물리치세요	Одолей небесного титана Азеоса	Derrota a Azeos, el Titán de los Cielos	Переможи небесного титана Азеоса	击败天空泰坦埃齐欧斯	擊敗天空泰坦阿茲歐斯	กำจัดอะซีออส ยักษ์แห่งน่านฟ้า
AchievementsLockedDescription/DefeatCoreCommander	Text		Defeat the Core Commander	Bezwinge den Kernkommandanten	Combats le commandant du Noyau	Derrote o Comandante do Núcleo	Sconfiggi il Comandante del Nucleo	コア・コマンダーを倒す	코어 지휘관을 물리치세요	Одолей командующего Ядра	Derrota al comandante del Núcleo	Переможи командира ядра	击败核心指挥官	擊敗核心指揮官	กำจัดผู้บัญชาการแก่นพลังงาน
AchievementsLockedDescription/DefeatCrydra	Text		Defeat Crydra the Ice Titan	Bezwinge Crydra, den Eistitanen	Combats Crydre le Titan de glace	Derrote Neridra, o Titã do Gelo	Sconfiggi Crydra il Titano Ghiacciato	氷の巨竜クライドラを倒す	얼음 거인 크리드라를 물리치세요	Одолей ледяного титана Кридру	Derrota a Crioídra, el Titán de Hielo	Переможи крижаного титана Кридру	击败寒冰泰坦冰德拉	擊敗寒冰泰坦冰德拉	กำจัดไครดรา ยักษ์น้ำแข็ง
AchievementsLockedDescription/DefeatDruidra	Text		Defeat Druidra the Wild Titan	Bezwinge Druidra, den Wildtitanen	Combats Druidre le Titan sauvage	Derrote Druidra, o Titã da Natureza	Sconfiggi Druidra il Titano Selvaggio	森の巨竜ドルイドラを倒す	야생 거인 드루이드라를 물리치세요	Одолей дикого титана Друидру	Derrota a Druidra, el Titán Salvaje	Переможи дикого титана Друїдру	击败荒野泰坦林德拉	擊敗狂野泰坦野德拉	กำจัดดรูอิดรา ยักษ์พงไพร
AchievementsLockedDescription/DefeatGhorm	Text		Defeat Ghorm the Devourer	Ghorm den Verschlinger bezwingen	Combats Ghorm le Dévoreur	Derrote Ghorm, o Devorador	Sconfiggi Ghorm il Divoratore	大喰らいのゴームを倒す	포식자 고름을 물리치세요	Одолей Гхорма Поглотителя	Derrota a Ghorm, el Devorador	Переможи Пожирача Гхорма	击败吞噬者戈尔姆	擊敗吞噬者葛爾姆	กำจัดกอร์มจอมเขมือบ
AchievementsLockedDescription/DefeatGlurch	Text		Defeat Glurch the Abominous Mass	Glurch die Abscheuliche Masse bezwingen	Combats Glurch la Masse abominable	Derrote Glurch, a Massa Abominável	Sconfiggi Glurch l'Ammasso Abominevole	奇怪生命体グラーチを倒す	혐오스러운 덩어리 글러치를 물리치세요	Одолей Глурча Мерзкосклизкого	Derrota a Glurch, la Masa Abominable	Переможи Огидного Глерча	击败恶形巨物戈勒蚩	擊敗巨獸格魯奇	กำจัดเกลิร์ช ก้อนเนื้อปิศาจ
AchievementsLockedDescription/DefeatHivemother	Text		Defeat the Hive Mother	Die Nestmutter bezwingen	Combats la Reine de la ruche	Derrote a Mãe do Enxame	Sconfiggi la Madre del Nido	ハイヴマザーを倒す	군집의 어머니를 물리치세요	Одолей Ульематку	Derrota a la Madre de la Colmena	Переможи Велику Матку	击败虫巢之母	擊敗巢母	กำจัดรวงผึ้งมารดา
AchievementsLockedDescription/DefeatIgneous	Text		Defeat Igneous the Molten Mass	Igneous die Geschmolzene Masse bezwingen	Combats Igneous la Masse en fusion	Derrote Igneus, a Massa Fundente	Sconfiggi Igneous l'Ammasso Fuso	溶岩の塊イグニアスを倒す	녹아내린 덩어리 이그니우스를 물리치세요	Одолей Игнеуса Лавошлёпа	Derrota a Igneous, la Masa Fundida	Переможи Розплавленого Ігнеуса	击败熔融巨物伊格尼欧斯	擊敗熔融體伊格涅斯	กำจัดอัคนีอุส สไลม์หลอมเหลว
AchievementsLockedDescription/DefeatIvy	Text		Defeat Ivy the Poisonous Mass	Ivy die Giftige Masse bezwingen	Combats Ivy la Masse vénéneuse	Derrote Hera, a Massa Venenosa	Sconfiggi Ivy l'Ammasso Velenoso	猛毒生命体アイヴィーを倒す	유독성 덩어리 덩굴을 물리치세요	Одолей Плюща Ядоплюха	Derrota a Ivy, la Masa Venenosa	Переможи Отруйного Айві	击败带毒巨物艾薇	擊敗毒藤巨獸艾薇	กำจัดไอวี่ สไลม์พิษ
AchievementsLockedDescription/DefeatKingSlime	Text		Defeat King Slime	Schleimkönig bezwingen	Combats le Roi vaseux	Derrote o Rei Limo	Sconfiggi il Re Melma	キングスライムを倒す	대왕 슬라임을 물리치세요	Одолей Короля слизи	Derrota al Rey Baba	Переможи Короля Слизу	击败史莱姆王	擊敗史萊姆王	กำจัดคิงสไลม์
AchievementsLockedDescription/DefeatMalugaz	Text		Defeat Malugaz the Corrupted	Malugaz den Korrupten bezwingen	Combats Malugaz le Corrompu	Derrote Malugaz, o Corrompido	Sconfiggi Malugaz il Corrotto	頽廃の王マルガズを倒す	타락한 말루가즈를 물리치세요	Одолей Малугаза Порочного	Derrota a Malugaz, el Corrupto	Переможи Малугаза Поганого	击败堕落者玛鲁格兹	擊敗腐朽者馬魯格茲	กำจัดมาลูเกซ ผู้แปดเปื้อน
AchievementsLockedDescription/DefeatMorpha	Text		Defeat Morpha the Aquatic Mass	Morpha die Aquatische Masse bezwingen	Combats Morpha la Masse aquatique	Derrote Morpha, a Massa Aquática	Sconfiggi Morpha l'Ammasso Acquatico	水棲生命体モルファを倒す	축축한 덩어리 모르파를 물리치세요	Одолей Морфу Водомассу	Derrota a Morpha, la Masa Acuática	Переможи Водянистого Морфа	击败水栖巨物摩尔法	擊敗水之巨獸摩爾法	กำจัดมอร์ฟา สไลม์ใต้สมุทร
AchievementsLockedDescription/DefeatNimruza	Text		Defeat Nimruza, Queen of the Burrowed Sands	Bezwinge Nimruza, Königin der Verborgenen Sande	Combats Nimruza, la reine des Sables enfouis	Derrote Nimruza, a Rainha das Areias Entocadas	Sconfiggi Nimruza, Regina dei cunicoli sabbiosi	砂潜りの女王ニムルザを倒す	파묻힌 모래의 여왕 님루자를 물리치세요	Одолей королеву Изрытых песков Нимрузу	Derrota a Nimruza, Reina de las Arenas Excavadas	Переможи Німрузу, королеву Живих пісків	击败潜沙女王尼姆鲁扎	擊敗潛沙女王妮姆露札	กำจัดนิมรูซา ราชินีแห่งโพรงทราย
AchievementsLockedDescription/DefeatOmoroth	Text		Defeat Omoroth the Sea Titan	Omoroth den Meerestitanen bezwingen	Combats Omoroth le Titan des mers	Derrote Omoroth, o Titã do Mar	Sconfiggi Omoroth il Titano Abissale	海の巨獣オモロスを倒す	바다 거인 오모로스를 물리치세요	Одолей морского титана Оморота	Derrota a Omoroth, el Titán de los Mares	Переможи морського титана Оморота	击败海洋泰坦欧墨若斯	擊敗海洋泰坦歐墨若斯	กำจัดโอโมรอธ ยักษ์แห่งท้องทะเล
AchievementsLockedDescription/DefeatPyrdra	Text		Defeat Pyrdra the Fire Titan	Bezwinge Pyrdra, den Feuertitanen	Combats Pyrdre le Titan de feu	Derrote Calidra, o Titã do Fogo	Sconfiggi Pyrdra il Titano Infuocato	炎の巨竜ファイドラを倒す	화염 거인 파이드라를 물리치세요	Одолей огненного титана Пламдру	Derrota a Piroídra, el Titán de Fuego	Переможи вогняного титана Придру	击败火焰泰坦炎德拉	擊敗火焰泰坦火德拉	กำจัดไพร์ดรา ยักษ์เพลิง
AchievementsLockedDescription/DefeatRaAkar	Text		Defeat Ra-Akar the Sand Titan	Ra-Akar den Sandtitanen bezwingen	Combats Ra-Akar le Titan des sables	Derrote Ra-Akar, o Titã da Areia	Sconfiggi Ra-Akar il Titano Sabbioso	砂の巨獣ラ・アカールを倒す	모래 거인 라-아카르를 물리치세요	Одолей песчаного титана Ра-Акара	Derrota a Ra-Akar, el Titán de Arena	Переможи піщаного титана Ра-Акара	击败黄沙泰坦拉阿卡尔	擊敗黃沙泰坦拉阿卡爾	กำจัดรา-อะคาร์ ยักษ์ทะเลทราย
AchievementsLockedDescription/DefeatUrschleim	Text		Defeat Urschleim	Bezwinge den Urschleim	Combats Urschleim	Derrote Urschleim	Sconfiggi Urschleim	ウルシュライムを倒す	태초슬라임을 물리치세요	Одолей Уршляйма	Derrota a Urschleim	Переможи Уршляйма	击败原始史莱姆	擊敗原始史萊姆	กำจัดอูร์ชไลม์
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Discover 100 recipes in the cook book	100 Rezepte im Kochbuch entdecken	Découvre 100 recettes dans le livre de cuisine	Descubra 100 receitas no livro de receitas	Scopri 100 ricette nel ricettario	料理本で100レシピ発見する	요리책에서 레시피 100개를 찾아내세요	Открой 100 рецептов в поваренной книге	Descubre 100 recetas en el libro de cocina	Відкрий 100 рецептів у кулінарній книзі	发现烹饪书中的 100 种菜谱	發挖食譜書中的 100 道食譜	ค้นพบสูตรอาหาร 100 สูตรในหนังสือทำอาหาร
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Equip the Ring of Rock and Ring of Stone	Ring der Felsen und Ring der Steine ausrüsten	Équipe-toi de l’anneau de roche et de l’anneau de pierre	Equipe o Anel de Rocha e o Anel de Pedra	Equipaggia l'Anello di roccia e l'Anello di pietra	岩のリングと石のリングを装備する	암석 반지와 돌 반지를 장착하세요	Надень Кольцо скалы и Кольцо камня	Equipa el anillo de roca y el anillo de piedra	Споряди Кільце каменю й Кільце гори	装备岩石戒指和石头戒指	配備岩石戒指及石頭戒指	ติดตั้งหินวงแหวนและแหวนหิน
AchievementsLockedDescription/FeedCattle	Text		Feed cattle	Füttere ein Nutztier	Nourris le bétail	Alimente um animal de rebanho	Nutri il bestiame	畜産動物にエサを与える	가축에게 먹이를 주세요	Покорми скот	Da de comer al ganado	Нагодуй худобу	饲喂家畜	餵食家畜	ให้อาหารปศุสัตว์
AchievementsLockedDescription/FirstPet	Text		Hatch your first pet from an egg	Brüte dein erstes Haustier aus einem Ei aus	Fais éclore l'œuf de ton premier animal de compagnie	Choque um ovo de pet pela primeira vez	Ottieni il tuo primo animale da un uovo	初めてのペットを孵化させる	알에서 첫 애완동물을 부화시키세요	Помоги первому питомцу вылупиться из яйца	Haz eclosionar tu primera mascota de un huevo	Виведи першу тваринку з яйця	第一次用宠物蛋孵化出宠物	從蛋孵化出第一隻寵物	ฟักไข่สัตว์เลี้ยงตัวแรก
